step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
257,0,200666.98,393800.84,594467.82,494293.38,293626.4,0
378,0,257246.59,3836450.02,4093696.6,674210.69,416964.11,0
370,0,39734.66,0.0,39734.66,1939535.19,1899800.54,0
206,0,121040.87,1913302.33,2034343.21,606016.32,484975.45,0
131,0,60899.82,21022451.5,21083351.32,833405.63,835164.65,0
44,0,41455.96,2008275.13,2049731.08,1171231.66,1375080.65,0
180,0,21469.1,10896562.39,10918031.49,761566.04,740096.95,0
405,0,76821.35,2372061.59,2448882.95,23588010.52,23511189.17,0
303,0,40867.66,52614.0,93481.66,1379875.97,1339008.31,0
354,0,233486.01,5057921.02,5291407.04,253267.4,19781.39,0
210,0,67408.11,4635.0,72043.11,0.0,0.0,0
136,0,36920.98,51425.0,88345.98,139088.36,102167.38,0
571,0,18324.98,7017084.41,7035409.39,85732.46,67407.48,0
12,0,87155.58,3165579.58,3252735.16,4138521.12,4006052.11,0
327,0,159404.84,16727322.89,16886727.73,1679699.89,1520295.05,0
345,0,104536.53,1535.0,106071.53,0.0,0.0,0
21,0,230337.0,944297.3,1174634.3,1033837.05,803500.05,0
137,0,200628.69,1527789.26,1728417.95,3826029.75,3625401.06,0
259,0,95230.88,48534.0,143764.88,4406629.2,4311398.31,0
400,0,138488.57,7074388.49,7212877.06,621725.02,483236.45,0
263,0,151360.42,107298.0,258658.42,2517737.98,2366377.56,0
325,0,223757.07,7715156.34,7938913.41,2788768.62,2565011.56,0
134,0,70163.77,256285.0,326448.77,190319.57,120155.8,0
186,0,213367.81,3957417.42,4170785.24,535242.73,321874.92,0
371,0,56155.73,52099.0,108254.73,1450574.85,1394419.12,0
327,0,159200.72,572636.0,731836.72,0.0,0.0,0
140,0,35496.48,123625.0,159121.48,0.0,0.0,0
9,0,21975.09,7042080.16,7064055.25,76158.55,54183.46,0
375,0,153108.76,26213504.43,26366613.19,379714.38,226605.62,0
161,0,235109.33,11276.0,246385.33,117.0,0.0,0
188,0,25809.76,53248.0,79057.76,2600750.82,2574941.06,0
238,0,65178.52,6608720.84,6673899.36,1135519.77,1070341.25,0
35,0,119880.12,2491760.96,2611641.08,4908415.98,4788535.87,0
227,0,241704.77,4943488.86,5185193.63,1284855.12,1043150.35,0
181,0,168229.95,277099.63,445329.58,262381.38,94151.43,0
138,0,193904.65,71054.0,264958.65,2132191.91,1938287.26,0
301,0,77431.27,3027619.88,3105051.15,10033702.4,9956271.12,0
154,0,581048.54,106035.0,687083.54,2653399.7,2072351.17,0
331,0,425824.66,9027235.81,9453060.48,2159604.26,1733779.59,0
249,0,48819.9,2984173.7,3032993.6,220620.41,171800.52,0
95,0,13997.49,6059898.62,6073896.11,125351.74,111354.25,0
285,0,115455.39,3605860.53,3721315.92,116042.6,587.21,0
257,0,148826.75,28487.0,177313.75,0.0,0.0,0
35,0,254632.16,42952.0,297584.16,0.0,0.0,0
396,0,53386.1,15409574.09,15462960.19,308486.39,255100.3,0
346,0,273757.27,1965364.03,2239121.3,324405.88,50648.61,0
182,0,56842.58,3497027.18,3553869.76,2209466.78,2152624.21,0
155,0,204542.24,740169.81,944712.05,1387052.24,1182510.0,0
34,0,74351.1,0.0,74351.1,237883.18,163532.08,0
397,0,114357.09,0.0,114357.09,586011.09,471654.0,0
310,0,183947.57,10031282.19,10215229.76,1025442.02,841494.45,0
306,0,166380.26,419782.0,586162.26,0.0,0.0,0
254,0,117386.88,353347.2,470734.08,345879.02,228492.14,0
205,0,37384.06,4188893.86,4226277.92,111675.53,74291.47,0
207,0,164090.9,26077.0,190167.9,0.0,0.0,0
130,0,14685.75,15271504.17,15286189.91,1148320.81,1133635.07,0
168,0,86585.91,671278.56,757864.47,7416097.41,7329511.49,0
159,0,61307.63,87363.0,148670.63,743045.77,681738.15,0
39,0,258990.37,847701.0,1106691.37,0.0,0.0,0
355,0,39747.15,5257356.78,5297103.93,197468.62,157721.46,0
159,0,36956.49,17968208.81,18005165.29,393294.18,356337.7,0
329,0,329871.86,81847.0,411718.86,2053153.48,1723281.62,0
131,0,259686.21,1605359.16,1865045.37,368519.4,108833.19,0
135,0,2757.66,1563993.58,1566751.24,97795.32,95037.66,0
212,0,247929.08,480887.85,728816.93,733622.18,485693.1,0
259,0,140248.56,10204045.51,10344294.07,231255.25,91006.69,0
371,0,303431.61,605372.84,908804.46,794376.81,490945.2,0
182,0,108801.15,89387.0,198188.15,1334117.84,1225316.69,0
490,0,248537.94,29336.0,277873.94,108070.91,0.0,0
140,0,357186.16,54.0,357240.16,1017575.09,660388.93,0
161,0,239094.37,12437352.09,12676446.46,2623149.38,2384055.01,0
204,0,261116.77,3629053.9,3890170.66,1006943.92,745827.16,0
188,0,59778.84,18315434.17,18375213.02,1145397.98,1085619.14,0
405,0,9926.45,12445140.72,12455067.17,84325.87,74399.41,0
251,0,575501.64,14096.0,589597.64,0.0,0.0,0
12,0,231044.07,2762139.9,2993183.97,1975839.41,1316540.87,0
179,0,545143.55,21259.0,566402.55,369236.06,0.0,0
14,0,111762.87,4095415.74,4207178.62,3794699.49,3682936.61,0
18,0,84699.35,689.0,85388.35,80054.23,0.0,0
185,0,571289.71,4699959.64,5271249.35,875173.27,352035.21,0
307,0,150754.74,20565979.17,20716733.91,2251070.43,2100315.69,0
12,0,51691.49,29727.0,81418.49,0.0,0.0,0
15,0,414021.9,18670597.26,19084619.16,580259.29,166237.39,0
253,0,431660.06,23657425.08,24089085.14,1681644.81,1249984.75,0
209,0,272148.94,964.0,273112.94,0.0,0.0,0
185,0,153222.58,3189962.09,3343184.68,719122.86,565900.27,0
13,0,286774.39,7197821.09,7484595.48,12715662.1,12586391.42,0
383,0,55144.77,1971478.76,2026623.54,3135422.25,3080277.48,0
546,0,192551.08,11343.0,203894.08,0.0,0.0,0
522,0,49297.1,7332715.74,7382012.84,4648874.63,4599577.53,0
229,0,8181.67,6861532.21,6869713.88,1046290.62,1038108.95,0
94,0,565226.1,8055469.59,8620695.69,1722098.75,1156872.65,0
226,0,324497.35,21788.0,346285.35,5061903.21,4737405.86,0
323,0,25856.85,27565805.26,27591662.11,269201.93,243345.08,0
131,0,436588.74,3230151.76,3666740.5,2747060.06,2459330.17,0
204,0,131432.57,3822036.6,3953469.17,151679.95,20247.38,0
378,0,249399.55,39867.0,289266.55,1879671.72,1630272.17,0
141,0,63510.18,2339199.66,2402709.85,288106.85,289800.6,0
225,0,263910.69,78847.0,342757.69,0.0,0.0,0
335,0,37045.31,65912.67,102957.98,638530.77,601485.47,0
134,0,62873.8,4491889.23,4554763.04,90133.98,27260.18,0
354,0,144269.3,3820905.77,3965175.08,1874704.86,1730435.56,0
254,0,93064.45,68337.09,161401.54,434686.4,341621.95,0
278,0,139667.05,76582.0,216249.05,0.0,0.0,0
299,0,8185.46,27845695.07,27853880.53,248909.27,240723.8,0
42,0,172788.33,6184171.43,6356959.76,6817357.58,6644569.25,0
358,0,302180.73,8298283.29,8600464.02,17014497.37,16712316.64,0
209,0,168450.29,10663.0,179113.29,0.0,0.0,0
131,0,9583.36,11248760.3,11258343.66,63251.31,53667.95,0
281,0,113258.55,10775333.04,10888591.59,851255.26,737996.7,0
403,0,277965.38,60764.0,338729.38,84517.78,0.0,0
157,0,384543.79,1559848.4,1944392.19,2809152.56,2424608.78,0
237,0,318662.26,8754544.07,9073206.32,475301.05,156638.8,0
157,0,341128.06,5606.0,346734.06,278001.64,0.0,0
324,0,28862.59,7753313.34,7782175.93,83852.39,54989.8,0
227,0,88425.84,21377.0,109802.84,57626.68,0.0,0
394,0,132740.75,13374.0,146114.75,657729.52,524988.77,0
330,0,61020.13,15823.0,76843.13,6259.22,0.0,0
254,0,187710.89,6345551.04,6533261.93,437003.02,249292.13,0
208,0,16852.31,12722850.19,12739702.5,1083896.53,1128572.39,0
185,0,96318.37,569323.06,665641.43,4620410.88,4524092.51,0
596,0,232453.15,133409.03,365862.18,825170.2,592717.05,0
285,0,254290.38,4196.0,258486.38,81861.16,0.0,0
96,0,102313.78,49696.0,152009.78,1063146.26,960832.48,0
396,0,59090.43,1340.0,60430.43,60009.79,919.36,0
274,0,8743.86,4056478.8,4065222.67,384839.7,376095.84,0
280,0,360676.21,2750167.45,3110843.66,1106945.02,746268.8,0
137,0,209164.18,963.0,210127.18,15611818.64,15402654.46,0
